,Unnamed: 0,org_sent,processed_sent,service,room,loc
0,0,"Close to amenities, shops, transit, and tomes Square.","close to amenities, shops, transit, and tomes square",0.001,0.001,0.4341811239719391
1,1,Everything was great.,everything was great,0.001,0.001,0.001
2,2,They even let us check in an hour early.,they even let us check in an hour early,0.001,0.001,0.001
3,3, staff was very rude...especially security,staff was very rudeespecially security,0.6332249641418457,0.001,0.001
4,4,"Great location, surroundings (inside and outside) and service at a good value.","great location, surroundings (inside and outside) and service at a good value",0.001,0.001,0.3669024407863617
5,5,The location is absolutely perfect,the location is absolutely perfect,0.001,0.001,0.001
6,6,Never will stay again also that still haven't refunded my deposit,never will stay again also that still haven't refunded my deposit,0.001,0.001,0.001
7,7,This hotel was an amazing find for our nyc trip.,this hotel was an amazing find for our nyc trip,0.001,0.001,0.001
8,8,Really swanky and insanely convenient to get anywhere in the city.,really swanky and insanely convenient to get anywhere in the city,0.001,0.001,0.7168886065483093
9,9,Yes the rooms are a bit small ,yes the rooms are a bit small,0.001,0.7064188718795776,0.001
10,10, you’re in nyc so it’s to be expected and It most certainly did not take away from the amazing experience!,you’re in nyc so it’s to be expected and it most certainly did not take away from the amazing experience!,0.001,0.001,0.2649914026260376
11,11,Totally worth it.,totally worth it,0.001,0.001,0.001
12,12,Would definitely stay here again.,would definitely stay here again,0.001,0.001,0.001
13,13," very small and kind of cramped for two, especially when you consider it cost us over $350 for one night.","very small and kind of cramped for two, especially when you consider it cost us over $350 for one night",0.001,0.26878687739372253,0.001
14,14,"The lobby was really nice and spacious, though.","the lobby was really nice and spacious, though",0.001,0.8605532050132751,0.001
15,15,There were not any room service options.,there were not any room service options,0.001,0.001,0.001
16,16,"Wifi was decent, and room amenities were basic.","wifi was decent, and room amenities were basic",0.001,0.6335153579711914,0.001
17,17,The customer service was amazing.,the customer service was amazing,0.7907230257987976,0.001,0.001
18,18,Reina (hotel associate) was kind and very helpful.,reina (hotel associate) was kind and very helpful,0.6156980395317078,0.001,0.001
19,19,I'll definitely be recommending this place.,i'll definitely be recommending this place,0.001,0.001,0.001
20,20,The hotel itself was nice and clean and had a great view of the city.,the hotel itself was nice and clean and had a great view of the city,0.001,0.4678727984428406,0.001
21,21,It was the perfect location.,it was the perfect location,0.001,0.001,0.7227305173873901
22,22,Room was clean and inviting.,room was clean and inviting,0.29159414768218994,0.5420299768447876,0.001
23,23,Great location near Times Square!,great location near times square!,0.001,0.001,0.7911388874053955
24,24,Theater and great food options in proximity.,theater and great food options in proximity,0.001,0.001,0.4808748960494995
25,25,"Firm mattress, clean room great location","firm mattress, clean room great location",0.001,0.5345054268836975,0.22738690674304962
26,26,One full bed convenient regarding city locale,one full bed convenient regarding city locale,0.001,0.001,0.26454541087150574
27,27," really Comfortable, I loveee the view and the Staff Attentions , Honestly Row NYC Its the #1 in my hotels booking","really comfortable, i loveee the view and the staff attentions , honestly row nyc its the #1 in my hotels booking",0.001,0.31713980436325073,0.001
28,28,Great location.,great location,0.001,0.001,0.7220231294631958
29,29,Easy check in and good price,easy check in and good price,0.001,0.001,0.262943834066391
30,30,Ok. hotels should provide coffee in every room ROWNYC has none and charge $4.00 for a cup downstairs in the bar.,ok hotels should provide coffee in every room rownyc has none and charge $400 for a cup downstairs in the bar,0.001,0.001,0.001
31,31,The Row NYC is our new favorite New York hotel.,the row nyc is our new favorite new york hotel,0.001,0.001,0.001
32,32,"The staff is great, it was clean, in a great location, and comfortable.","the staff is great, it was clean, in a great location, and comfortable",0.001,0.3230423927307129,0.001
33,33,Great price for the location to Times Square!,great price for the location to times square!,0.001,0.001,0.4721052348613739
34,34,I did want to clarify our previous rating.,i did want to clarify our previous rating,0.001,0.001,0.001
35,35,The bed was perfectly comfortable.,the bed was perfectly comfortable,0.001,0.5420551896095276,0.2913457751274109
36,36,The cleanliness of the room was mediocre at best.,the cleanliness of the room was mediocre at best,0.001,0.47024819254875183,0.001
37,37,"The bathroom was dirty, mold in the caulk, hair on the floor from the previous guests.","the bathroom was dirty, mold in the caulk, hair on the floor from the previous guests",0.001,0.4625195562839508,0.001
38,38,We had to take face cloths from the housekeeping carts because we were never provided anything ,we had to take face cloths from the housekeeping carts because we were never provided anything,0.001,0.37515532970428467,0.001
39,39, hand towels and bath towels.,hand towels and bath towels,0.001,0.8334761261940002,0.001
40,40,Popcorn paint bubbling up and practically falling due to the fact there was no blower fan in the bathroom.,popcorn paint bubbling up and practically falling due to the fact there was no blower fan in the bathroom,0.001,0.291801780462265,0.001
41,41, never replenished throughout our 4 day stay.,never replenished throughout our 4 day stay,0.001,0.28320184350013733,0.001
42,42,One nice thing is we were provided disposable water bottles to take with us as we were vacationing on the hottest weekend of the summer.,one nice thing is we were provided disposable water bottles to take with us as we were vacationing on the hottest weekend of the summer,0.001,0.32918503880500793,0.001
43,43,The location of the hotel itself in the theater district was perfect!,the location of the hotel itself in the theater district was perfect!,0.001,0.001,0.8608151078224182
44,44,I would stay there again if they did a little updating of the rooms and improved cleanliness.,i would stay there again if they did a little updating of the rooms and improved cleanliness,0.001,0.48597532510757446,0.001
45,45,The hotel was clean and the staff were pleasant to work with.,the hotel was clean and the staff were pleasant to work with,0.6700617671012878,0.001,0.001
46,46,The location was great.,the location was great,0.001,0.001,0.7220559120178223
47,47,The location was fabulous; the desk & concierge staff were very attentive & helpful; the window shades darkened the room significantly; there was a room safe.,the location was fabulous; the desk & concierge staff were very attentive & helpful; the window shades darkened the room significantly; there was a room safe,0.32664746046066284,0.4819331467151642,0.001
48,48,"On the other hand, the room was very small; the electrical outlet in the bathroom was on the opposite wall as the shelf, making plugging in an electric toothbrush/ razor impossible; there was a lot of dust on the chair rail in the bathroom.","on the other hand, the room was very small; the electrical outlet in the bathroom was on the opposite wall as the shelf, making plugging in an electric toothbrush/ razor impossible; there was a lot of dust on the chair rail in the bathroom",0.001,0.4083901643753052,0.001
49,49,"Nice hotel, I was pleased","nice hotel, i was pleased",0.001,0.001,0.001
50,50,Hate sharing a bed with anyone.,hate sharing a bed with anyone,0.001,0.26413241028785706,0.001
51,51,I upgraded to two full beds.,i upgraded to two full beds,0.001,0.8337346315383911,0.001
52,52,Room was very spacious for New York!,room was very spacious for new york!,0.001,0.7221252918243408,0.001
53,53,"HOWEVER, guest services was trash.","however, guest services was trash",0.4318220913410187,0.001,0.001
54,54,It was impossible to get new towels and our trash taken out.,it was impossible to get new towels and our trash taken out,0.001,0.001,0.001
55,55,Had to call multiple times and got greeted with one word answers and awkward hang ups.. And I called about a foul smell in the bathroom and no one responded or came to check on it.,had to call multiple times and got greeted with one word answers and awkward hang ups and i called about a foul smell in the bathroom and no one responded or came to check on it,0.001,0.001,0.001
56,56,Clean sheets.,clean sheets,0.001,0.7230448126792908,0.001
57,57,The hotel is what you would expect from any busy place near Times Square.,the hotel is what you would expect from any busy place near times square,0.001,0.001,0.3809121251106262
58,58,"It was smelly, congested, and not very clean.","it was smelly, congested, and not very clean",0.001,0.2934662103652954,0.001
