,Unnamed: 0,Unnamed: 0.1,org_sent,processed_sent,service,room,loc,prob_service,prob_room,prob_loc,pred_service,pred_room,pred_loc
0,0,0,"Close to amenities, shops, transit, and tomes Square.","close to amenities, shops, transit, and tomes square",0.001,0.001,0.4341811239719391,0.63702965,0.8731245,0.91496736,0.001,0.001,0.4341811239719391
1,1,1,Everything was great.,everything was great,0.001,0.001,0.001,0.8659847,0.89842474,0.91233045,0.001,0.001,0.001
2,2,2,They even let us check in an hour early.,they even let us check in an hour early,0.001,0.001,0.001,0.48443404,0.5941137,0.7547623,0.0,0.0,0.0
3,3,3, staff was very rude...especially security,staff was very rudeespecially security,0.6332249641418457,0.001,0.001,0.80012906,0.6633416,0.8148329,0.6332249641418457,0.001,0.001
4,4,4,"Great location, surroundings (inside and outside) and service at a good value.","great location, surroundings (inside and outside) and service at a good value",0.001,0.001,0.3669024407863617,0.9055195,0.9121903,0.9236742,0.001,0.001,0.3669024407863617
5,5,5,The location is absolutely perfect,the location is absolutely perfect,0.001,0.001,0.001,0.9851613,0.9887214,0.95602715,0.001,0.001,0.001
6,6,6,Never will stay again also that still haven't refunded my deposit,never will stay again also that still haven't refunded my deposit,0.001,0.001,0.001,0.55209523,0.7554102,0.81909645,0.001,0.001,0.001
7,7,7,This hotel was an amazing find for our nyc trip.,this hotel was an amazing find for our nyc trip,0.001,0.001,0.001,0.98749495,0.98336995,0.9617311,0.001,0.001,0.001
8,8,8,Really swanky and insanely convenient to get anywhere in the city.,really swanky and insanely convenient to get anywhere in the city,0.001,0.001,0.7168886065483093,0.9461713,0.95082176,0.9267457,0.001,0.001,0.7168886065483093
9,9,9,Yes the rooms are a bit small ,yes the rooms are a bit small,0.001,0.7064188718795776,0.001,0.87257934,0.8646633,0.88299,0.001,0.7064188718795776,0.001
