,org_sent,processed_sent
0,"My toilet would not flush, maintenance came & fixed it, which I had to fix again later myself.",toilet would flush maintenance come fix fix later .
1,The shower water would not drain fat enough.,shower water would drain fat enough .
2,"I had to get out the shower quick,sue to the water about to flow out of the tub.",get shower water flow tub .
3,I would pay the extra money & have a better stay.,would pay extra money well stay .
4,They change prices at all times.,change price time .
5,I’ve been eaten up by bugs all night.,eat bug night .
6,You can find better hotels at a better price.,find well hotel well price .
7,Stayed 7.5.2019 til 7.7.2019 - Room was outdated.,stay til room outdate .
8,"Bathroom was disgusting needs a complete remodel and the A/C was terrible, made it hard to really be able to sleep at night.",bathroom disgusting need complete remodel terrible make hard really able sleep night .
9,Honestly my room is not bad at all.,honestly room bad .
10,"The air-conditioner works and the room is clean, and the service of the receptionist is pretty good.",airconditioner work room clean service receptionist pretty good .
11,I think it is not a bad motel at that price.,think bad motel price .
12,Worst hotel i ever seen .. bad receptionist.,bad hotel ever see bad receptionist .
13,Manager kelliannie keep laughing on client who call and she is not welcoming at all.,manager kelliannie keep laugh client call welcome .
14,Nothing at this place works.,nothing place work .
15,The pool was closed and under construction.,pool closed construction .
16,First time stepping in the room realized there was a dirty towel on the ground pee in the toilet and are was completely off and smelt like sweat.,first time step room realize dirty towel ground pee toilet completely smell like sweat .
17,Breakfast was a joke there was nothing ,breakfast joke nothing
18," waffles and they ran out of all baked goods by 9 a.m. one morning no fresh fruit either... see the cops in the back ground when we were checking in, should have known better",waffle run bake good a.m. one morning fresh fruit either see cop back ground check know better
19,The first room they gave us had no ac and was 100 degrees in there.,first room give ac degree .
20,"As from what I heard, I wasn't the only one with this problem either.",hear one problem either .
21,"The second room they gave us, the outlet for the AC wasn't working.",second room give outlet ac work .
22,The second day we stayed the power went out.,second day stay power go .
23,I feel like this place has great potential ,feel like place great potential
24, falls really short and is extremely unorganized.,fall really short extremely unorganized .
25,"Let me not speak on the pool being renovated right now, so there was no pool either.",let speak pool renovate right pool either .
26,I was mad at this given the fact that there was no mention of this and was also a big park why I chose to stay here.,mad give fact mention also big park choose stay .
27,Would only stay here if you can get it for 50 bucks a night lol.,would stay get buck night lol .
28,I will give it one star STRICTLY for the reason - the lady who gave me my money back.,give one star strictly reason lady give money back .
29,"First of all, a hole in the wall.",first hole wall .
30,Phone didn’t work.,phone work .
31,Stain on the bed.,stain bed .
32,No “do not disturb sign” provided and when I realized the phone didn’t work I had to use my cell: they told me to write a note and hang it on the wall.,disturb provide realize phone work use cell tell write note hang wall .
33,Floors were filthy.,floor filthy .
34,Discuss me just to remember I got a reservation online with fake advertising and pictures they are the most disgusting place I ever been too!!!,discuss remember get reservation online fake advertising picture disgusting place ever
35,I lost my money cus I was not staying there !!,lose money cus stay
36,Please don’t call se this facility all the pictures aren’t real!!!,please call se facility picture
37,"I seem to always get stuck in the back of the hotel, which wasn't great.",seem always get stick back hotel great .
38,love it* clean reasonable great location,love clean reasonable great location
39,"We got a room with two queen beds for four people, they gave us one towel, and argued with us when we asked for more towels.",get room two queen bed four people give one towel argue ask towel .
40,The other two people that came with us had a separate room and their room wasn’t even ready when we clocked in at 3:30.,two people come separate room room even ready clock
41,There was also no toilet paper in the bathroom.,also toilet paper bathroom .
42,The toilet took forever to flush and the shower wouldn’t drain.,toilet take forever flush shower drain .
43,And the bathroom floor had hair all over the place.,bathroom floor hair place .
44,If I could give 0 stars I would!,could give star
45,So a few days before our reservation I called and asked to reserve a crib for my room because I hate having my daughter sleep next time and the only other option I had was keep her in the car seat which I did not want to do so when we got there they told me no crib was on the reservation ,day reservation call ask reserve crib room hate daughter sleep next time option keep car seat want get tell crib reservation
46, they’ll bring one up a few ours later we callled and they told us they have no more available.,bring one later call tell available .
47,our door was a pain to open we had to call the front desk to open it for us every time!,door pain open call front desk open every
48,Also when we first got there we were told most rooms didn’t have a/c ,also first get tell room
49,Then the next morning after checking in our electricity started going on & off.,next morning check electricity start go .
50,We called and were told they’re trying to get it fixed so we left the hotel from 11am to about 1am and the electricity was out completely in our room and were told they have to wait for maintenance the next morning & were given the managers number to call.,call tell try get fix leave hotel electricity completely room tell wait maintenance next morning give manager number call .
51,So by then we were just fed up & had to stay with family for the night and booked a different hotel for the rest of our stay.,feed stay family night book different hotel rest stay .
52,We constantly called for the manager & kept “missing her” and left a few messages for her because we want a refund!,constantly call manager keep leave message want
53,One of the times we called in to talk to the manager and to make sure they checked us out the room we were told that they had already checked someone else in without even knowing for sure that we checked out.,one time call talk manager make sure check room tell already check someone else without even know sure check .
54,I can’t imagine how that would’ve been if we hadn’t checked out and they checked someone else in while we were staying in the room.,imagine check check someone else stay room .
55,Hot wire gave us half the refund ,hot wire give half refund
56, we want the rest and still haven’t heard back and it’s been about 5 days.,want rest still hear back day .
57,Only somewhat positive thing is the room was decently clean the bathroom wasn’t though I was extremely grossed out I didn’t even take a shower there I took my showers at my brothers house.,somewhat positive thing room decently clean bathroom though extremely grossed even take shower take shower brother house .
58,Seems like it will be a nice hotel upon completion.,seem like nice hotel upon completion .
59,Got in at 1:AM to a mostly asleep clerk.,get mostly asleep clerk .
60,"Front door is working, mostly.",front door work mostly .
61,Hard to open from being wornout and out of square.,hard open wornout square .
62,Didn't have time to deal with it at 4:30am on my way to work.,time deal way work .
63,Got back after work to exchange coffee at the desk and was informed that all that was available in the entire motel was decaf.,get back work exchange coffee desk inform available entire motel decaf .
64,"No bottled water at the break buffet, didn't see anything worth eating.",bottled water break buffet see anything worth eat .
65,Not sure why Wyndham would put their name on a place like this.,sure wyndham would put name place like .
66,"Black mold in the shower, dirty floor, nasty bedding, no towels, smelled horrible.",black mold shower dirty floor nasty bedding towel smell horrible .
