,org_sent,processed_sent
0,The lovely lady at checkin was fabulous.,lovely lady checkin fabulous .
1,The room staff was not as attentive.,room staff attentive .
2,For 5 adults we ran out of toilet paper two different days and the shower was not clean.,adult run toilet paper two different day shower clean .
3,Hotel is in a great location and good size for 4-5 people,hotel great location good size people
4,Great location.,great location .
5,Rooms are super tiny and AC was not very strong.,room super tiny ac strong .
6,I think overall it’s probably just smarter to stay a bit farther away from Times Square and either save money or get a nicer hotel for the $$$.,think overall probably smarter stay bit farther away time square either save money get nice hotel
7,The elevators are too small and too slow.,elevator small slow .
8,You often would wait more than 10 minutes to get aboard one.,often would wait minute get aboard one .
9,"Also, the rooms don't have blinds, just semi-transparent pull-down shades.",also room blind semitransparent pulldown shade .
10,"Times Square proximity , fair pricing , breakfast availability",time square proximity fair pricing breakfast availability
11,One elevator working out of three.,one elevator work three .
12,Every thing was good except the elevator was down had to use the stairs alot other than that greay service,every thing good except elevator use stair alot greay service
13,They take forever and with the amount of people who come in and out of the hotel they should work on that.,take forever amount people come hotel work .
14,I loved the location- the hip lobby and the spacious family rooms.,love location hip lobby spacious family room .
15,I didn’t like that lotion isn’t included in the amenities.,like lotion include amenity .
16,Also a big dislike was the noisy air conditioning.,also big dislike noisy air conditioning .
17,It was a hot Labor Day weekend in NYC and we cranked the AC up... and it made a racket all night making it difficult to sleep.,hot labor day weekend nyc crank ac make racket night make difficult sleep .
18,Also you can hear the sirens and everything outside through the night and it was very noisy too.,also hear siren everything outside night noisy .
19,The property is located ideally for the Times Square area.,property locate ideally time square area .
20,"The queen bed room was a pretty good size, ",queen bed room pretty good size
21, the bathroom was very small.,bathroom small .
22,"Parking was across the street, which is convenient.",parking across street convenient .
23,Close to time Sq Beds a plus.,close time sq bed plus .
24,The location if the hotel is perfect and if you’re not picky the hotel is fine.,location hotel perfect picky hotel fine .
25,I have to say that I was slightly disappointed when I first saw our room because the pictures looks a lot nicer.,say slightly disappointed first see room picture look lot nicer .
26,The size if the room did not bother us because we barely spent time in the room.,size room bother barely spend time room .
27,The elevators are busy during certain times so I would suggest that you get up a little earlier for a quicker elevator ride.,elevator busy certain time would suggest get little earlier quick elevator ride .
28,All in all we did not have a bad stay and everything was clean.,bad stay everything clean .
29,The hotel itself just need a little extra tlc itself.,hotel need little extra tlc .
30,Walking out of the elevator on the 6th floor was a scary thing.,walk elevator floor scary thing .
31,I felt that I was going to be staying at an old rooming house.,feel go stay old room house .
32,The dark hallway and doors were old and uninviting.,dark hallway door old uninviting .
33,"Although the small room was pretty clean, the bathroom was very tiny and it took 7 minutes for the water in the shower to heat up.",although small room pretty clean bathroom tiny take minute water shower heat .
34,Would never stay there again and would not recommend it to others.,would never stay would recommend .
35,"Highly, highly recommend this Hotel.",highly highly recommend hotel .
36,Although not without it's issues so worth it due to location and staff.,although without issue worth due location staff .
37," cold, and the bathroom fan needed cleaning.",cold bathroom fan need cleaning .
38,Floor was a little dirty and bed small ,floor little dirty bed small
39," NONE of this should discourage staying here because you're not going to be in the room much anyway, it's NYC!",none discourage stay go room much anyway
40,This hotel is literally around the corner from the heart of Times Square without all the noise.,hotel literally around corner heart time square without noise .
41,It is also close to many theaters.,also close many theater .
42,"We had no problems with check-in or elevators, staff was nice.",problem checkin elevator staff nice .
43,Don’t be scared away by reviews that mention small rooms...it’s Manhattan!,scare away review mention small room
44,"Unless you want to pay an arm and a leg elsewhere, the rooms are on the small side ",unless want pay arm leg elsewhere room small side
45, our room was more and adequate and clean and comfortable.,room adequate clean comfortable .
46,Would definitely stay again!,would definitely stay
47,Perfect Location.,perfect location .
48,Bathroom can be too small and they charge you urban fees plus the advs price.,bathroom small charge urban fee plus advs price .
49,"There was hairs in the bathroom, and red stains on the floor",hair bathroom red stain floor
50,"The front desk person, Suni, was amazingly professional and helpful.",front desk person suni amazingly professional helpful .
51,She was the bright light of the staff.,bright light staff .
52,"Very clean, nice amenities, excellent restaurant attached.",clean nice amenity excellent restaurant attach .
53,Great location for theatre district.,great location theatre district .
54,"When called, helpdesk does not answer.",call helpdesk answer .
55,I had to go down to get my password correct.,go get password correct .
56,Based on the price I thought it would maintain a certain level of standard.,base price think would maintain certain level standard .
57, I was highly upset with that standard.,highly upset standard .
58,At first I was given a room which was small like a bathroom and the window opens into the pumps and generators.,first give room small like bathroom window open pump generator .
59,Then when I asked them is this the best you can offer.,ask good offer .
60,The problem why do I need to fight for better condition when I am paying the price.,problem need fight well condition pay price .
61,Worst hotel I have ever stayed in US.,bad hotel ever stay .
62,Room and bed were smaller than expected and the hallway was very noisy.,room bed small expect hallway noisy .
63,You could hear everything and there was some sort of construction going on the floor early in the morning.,could hear everything sort construction go floor early morning .
64,"There was no ""Do Not Disturb"" sign so had housekeeping knocking on the door early in the morning.",disturb sign housekeep knock door early morning .
65,The bathroom was small and there were several small knats all over the shower.,bathroom small several small knat shower .
66,The staff was very nice though and the location is good if you want the Broadway experience.,staff nice though location good want broadway experience .
67,Pointless to pay additional money for the room.,pointless pay additional money room .
68,"Pillows very flat, not the usual hotels.",pillow flat usual hotel .
69,"Although the staff is extremely polite and professional, The Gallivant is essentially a very old property that has been only cosmetically renovated.",although staff extremely polite professional gallivant essentially old property cosmetically renovate .
70,"There is a third service elevator, ",third service elevator
71," it is not used by any of the hotel's cleaning and maintenance staff, which means the other 2 elevators invariably end up stopping on every single floor during the day.",use hotel clean maintenance staff mean elevator invariably end stop every single floor day .
72,"On the second day, I found a huge dead roach on the floor.",second day find huge dead roach floor .
73,I called housekeeping to remove it ,call housekeep remove
74," they had left for the day, so the roach stayed with me until I checked out.",leave day roach stay check .
75,"Besides the elevator that was super slow, which led me to take the stairs to my room on the 13th floor more than once... And the housekeeping closet that always seemed to be open with piles of rubbish everywhere, everything was fine.",besides elevator super slow lead take stair room floor housekeeping closet always seem open pile rubbish everywhere everything fine .
76, only 1 actually doing anything and at check out the same.,actually anything check .
77,ton to get it to stay closed to get it to go.,ton get stay closed get go .
78,The other stopped at every floor going down.,stop every floor go .
79,ton on every floor.,ton every floor .
80,Overall it was comfortable for a one night stay.,overall comfortable one night stay .
81,Plus wasn’t pleased with the extra $35.00 fee for amenities I didn’t use !,plus pleased extra fee amenity use
82,"Great hotel, great location.",great hotel great location .
83,"While the room was very clean, the furniture was worn and used.",room clean furniture wear use .
84,The front desk staff was not exceptionally nice or helpful.,front desk staff exceptionally nice helpful .
85,I asked a couple of questions about directions and flight departure and he staff was very short and seemed bothered.,ask couple question direction flight departure staff short seem bother .
86,Perfect location.,perfect location .
87,Our stay was pleasant and the staff were friendly.,stay pleasant staff friendly .
88,I would stay here again.,would stay .
89,Great location and staff very helpful.,great location staff helpful .
90,Trish on the front desk was professional and helpful.,trish front desk professional helpful .
91,The premium room was a reasonable size with bunks and queen bed were comfortable.,premium room reasonable size bunk queen bed comfortable .
92,Parking garage across the street was easily accessible.,parking garage across street easily accessible .
93,"Our room was dirty, sheets weren’t changed.",room dirty sheet change .
94,"Also the AC unit shut on and off all night long every 5 seconds, so you went from being cold to sweating in a matter of seconds.",also ac unit shut night long every second go cold sweat matter second .
95,"Basic amenities in room, SUPER SMALL bathroom with only half of the shower covered with glass which meant a very wet floor and subsequently using towels to dry it, great location in the theater district.",basic amenity room super small bathroom half shower cover glass mean wet floor subsequently use towel dry great location theater district .
96,Small bottles of water and/or spa water was available at the front desk daily.,small bottle water spa water available front desk daily .
97,Fortunately it was just my 10 year old and me and the room was not where we spent much time.,fortunately year old room spend much time .
98,Air condition broken.,air condition break .
99,Two days to alleviate the situation.,two day alleviate situation .
100,Resort fee is not accurate on Hotels.com Expect to pay more Rooms are adequate ,resort fee accurate hotels.com expect pay room adequate
101, worn down Flies in shower - - Housekeeping starts at 8 am and are loud - a lot of the noise pollution is due to paper wall construction Great for a show trip: close to all theaters Management was helpful ,wear fly shower housekeeping start loud lot noise pollution due paper wall construction great show trip close theater management helpful
102,The hotel staff was very nice.,hotel staff nice .
