,org_sent,processed_sent
0,"We were well taken care of the entire stay - fresh made beds, new towels, etc.",well take care entire stay fresh make bed new towel etc .
1,"No frills and dated, but the bed was comfortable, the room was relatively inexpensive, and the location was very convenient.",frill date bed comfortable room relatively inexpensive location convenient .
2,Customer service was professional and courteous.,customer service professional courteous .
3,It was soft and comfortable.,soft comfortable .
4,"I didn't get what was offered to me through my groupon, King size bed, instead I got 2 full size bed.",get offer groupon king size bed instead get full size bed .
5,The Hotel room(s )need renovating also more modern TV and furniture.,hotel need renovate also modern tv furniture .
6,Otherwise from that you get what you pay for because it's on the upper west side.,otherwise get pay upper west side .
7,"I wouldn't stay there again, but it's good for tourists on a budget whom just come to fuljoy everything wht NYC has to offer.",would stay good tourist budget come fuljoy everything wht nyc offer .
8,Everything was quick and simple.,everything quick simple .
9,Only thing I would say was we asked for extra lotion & towels and they said they would bring it but never brought it up.,thing would say ask extra lotion towel say would bring never bring .
10,"They definitely lie about the flat screen tv, the room had an old tube television with about 4 working channels.",definitely lie flat screen tv room old tube television working channel .
11,My family and i didnt spend much time in the room but definitely got what i paid for i guess...,family spend much time room definitely get pay guess
12,The bed was nice and soft,bed nice soft
13,"It was an old hotel but the service was super great and the hotel room was clean, so overall really great for the price.",old hotel service super great hotel room clean overall really great price .
14,Location is awesome too not too far away from Times Square it took 10 minutes by Uber,location awesome far away time square take minute uber
15,"Near Central Park, The MET, and plenty of food spots.",near central park met plenty food spot .
16,Great service; friendly front desk staff and great price considering the surrounding area,great service friendly front desk staff great price consider surround area
17,The rooms was comfortable.,room comfortable .
18,I never received my refund for the hold on my card for incidentals nor did I ever receive a call back when I left a message inquiring.,never receive refund hold card incidental ever receive call back leave message inquire .
19,Was a nice room for one night’s stay.,nice room one stay .
20,Not meant for long stay overs where lots of personal luggage is carried with as our room was not very spacious.,mean long stay lot personal luggage carry room spacious .
21,But the room was clean and bed was comfortable.,room clean bed comfortable .
22,I would have like an extra towel or so.,would like extra towel .
23,"Would recommend for a quick lay over, but not for longer stays.",would recommend quick lay long stay .
24,It was a very convenient location and easy check in and out!,convenient location easy check
25,Comfortable and good space,comfortable good space
26,Problem.with groupon and checking my room was booked then groupon canceled my reservation when I never did embarassed me in front of my guest but the gentleman at the hotel addressed the issue accordingly and professionally !,problem.with groupon check room book groupon cancel reservation never embarasse front guest gentleman hotel address issue accordingly professionally
27,Clean and friendly.,clean friendly .
28,The best thing about my stay at this Days Inn Hotel was how hot the shower water got.🥰,good thing stay day inn hotel hot shower water
29,It was really fun and nice,really fun nice
30,Awesome hotel very close to transportation,awesome hotel close transportation
31,"Big bed, nice bathroom",big bed nice bathroom
32,Staff was great.,staff great .
33,Cleanliness of room was subpar.,cleanliness room subpar .
34,The customer service of the staff was good no complaints there.,customer service staff good complaint .
35,This photo is just one example of the damages we found upon arrival.,photo one example damage find upon arrival .
36,To top it off the bathroom window would fall open on it's own.,top bathroom window would fall open .
37,If all your looking for is a place to sleep and shower then I recommend this hotel everything is close by.,look place sleep shower recommend hotel everything close .
38,I would stay here again.,would stay .
39,It was very comfortable staff was very nice all that was missing was a microwave,comfortable staff nice miss microwave
40,Beds were very comfortable.,bed comfortable .
41,"The rooms are specifically for sleeping (no chairs, microwave, etc).",room specifically sleep chair microwave
42,Private Bathroom was decent ( water pressure in shower low).,private bathroom decent water pressure shower
43,"Hotel staff VERY nice, however phones in the rooms did not work, i had to use my cell to call front desk.",hotel staff nice however phone room work use cell call front desk .
44,Housekeeping was VERY attentive and offered full room cleaning daily.,housekeeping attentive offer full room clean daily .
45,"I got a decent price for something money can't buy: time with my Best Friend!😊 However, you get what you pay for.",get decent price something money buy time good however get pay .
46,This hotel had no amenities.,hotel amenity .
47,It was clean but very old looking.,clean old looking .
48,"It is easy to get to, but there are few exciting attractions nearby.",easy get exciting attraction nearby .
49,"Totally ok for the price, tidy room, nice receptionist, very good location near a metro station.",totally ok price tidy room nice receptionist good location near metro station .
50,Cafés and pharmacies right around.,pharmacy right around .
51,"Not a king bed, very small room, old office furniture.",king bed small room old office furniture .
52,Clean and good location.,clean good location .
53,The place was dirty and smelly but they did help get me a new room.,place dirty smelly help get new room .
54,The hotel room was not at all what was pictured and advertised.,hotel room picture advertise .
55,It was so incredibly tiny I could almost touch all 4 walls while standing in the middle of the room.,incredibly tiny could almost touch wall stand middle room .
56,The smell from people smoking in other rooms was absolutely overwhelming as well.,smell people smoke room absolutely overwhelming well .
57,"The room smelled amazingly clean, though the carpet was a little sticky in some places it was bearable.",room smell amazingly clean though carpet little sticky place bearable .
58,The bed was soft and sheets whiter than white☺️,bed soft sheet white
59,"Very nice, The staff was very friendly, the room was nice and clean.",nice staff friendly room nice clean .
60,Please help with the cancelation,please help cancelation
61,Their customer service was beyond pathetic.,customer service beyond pathetic .
62,Never going back.,never go back .
63,"Mold, filthy carpets broken windows and broken air conditioner, electric socket hanging out of wall.",mold filthy carpet break window broken air conditioner electric socket hang wall .
64,This hotel was very accommodating.,hotel accommodating .
65,The young lady at the front was very warm and welcoming.,young lady front warm welcoming .
66,The business sweet could use a little update with the furniture .,business sweet could use little update furniture
67,The hallway and room smelled like moisture was in the carpet.,hallway room smell like moisture carpet .
68,The carpet was actually coming up in some areas of the hallway.,carpet actually come area hallway .
69,The mirror in the bathroom was 90% covered in rust.,mirror bathroom cover rust .
70,My kids and I left immediately and never returned.,kid leave immediately never return .
71,Knats in the bathroom.,knat bathroom .
72,Duct tape on the window AC unit.,duct tape window ac unit .
73,Outdated television with horrible fuzzy yellow picture.,outdate television horrible fuzzy yellow picture .
74,I know the building is old but good grief.,know building old good grief .
75,The room was nice and large and the bed was great.,room nice large bed great .
76,Everything was comfortable and great.,everything comfortable great .
77,We switched rooms 4 times in 3 days.,switch room time day .
78,"The 1st had a broken toilet, 2 & 3 no wifi and 4, better wifi but toilet acted up and so did the door.",broken toilet wifi well wifi toilet act door .
79,The only good thing is the staff who do a truly great job (5⭐️) except for the manager Angela who is abrupt and rude and not very professional.,good thing staff truly great job except manager angela abrupt rude professional .
80,We overheard her bad mouthing a coworker just outside of thehotel.,overheard bad mouthing coworker outside thehotel .
81,Everything was decent.,everything decent .
82,The staff was fantastic and so was the location,staff fantastic location
83,"We were on the 11th floor which was dark and dingy, a little scary even.",floor dark dingy little scary even .
84,"AC in room barely worked, towels are scarce and washcloth, the one we were given, had a whole in it.",ac room barely work towel scarce washcloth one give whole .
85,"It’s ok for a night or two but the rooms are really old, outdated, old tv, and the bathroom tubs do get clogged pretty quick.",ok night two room really old outdated old tv bathroom tub get clog pretty quick .
86,"Dirty, cable didn’t work , outdated , will never return to this est",dirty cable work outdate never return est
87,The location was great but service with staff members in the evening check in was bad,location great service staff member evening check bad
88,Very outdated inside & out.,outdated inside .
89,Could not wait to leave 1st thing the next day.,could wait leave thing next day .
90,I have always trusted Groupon’s suggested hotels.,always trust suggest hotel .
91,Groupon should not offer such a gross place to stay.,groupon offer gross place stay .
