,org_sent,processed_sent
0,It is old and not very clean.,old clean .
1, the staff were okay.,staff okay .
2,Very few cable stations.,cable station .
3,No cnn msnbc espn weather channel.,cnn msnbc espn weather channel .
4,Hotel furnishes were old and dirty.,hotel furnishe old dirty .
5,Bed was very comfortable.,bed comfortable .
6,Window A/C was noisy and barely adequate.,window noisy barely adequate .
7, great location friendly staff and good price.,great location friendly staff good price .
8,Just don’t think price was comparable to the stay,think price comparable stay
9,I would stay here again.,would stay .
10,"Check in was quick, hotel room is so small and dreary as very old/run down.",check quick hotel room small dreary .
11,Bed was not very comfortable.,bed comfortable .
12,Good location by the park.,good location park .
13,The water in lobby was nice touch.,water lobby nice touch .
14,"The rooms were very small, outdated and uncomfortable.",room small outdated uncomfortable .
15,The walls need painted in the hallway - the wallpaper is awful.,wall need paint hallway wallpaper awful .
16,"They say it's for fast speed internet, free water a day, online newspapers (not sure how this was suppose to be accessed) and snacks from 4-6pm.",say fast speed internet free water day online newspaper sure suppose access snack
17,It doesn't matter - half the time I couldn't connect to the internet and when I did connect it was so slow.,matter half time could connect internet connect slow .
18,There was an ice machine in the basement - the basement was scary - I really would not have been surprised had I seen a rat.,ice machine basement basement scary really would surprise see rat .
19,We had leftovers and had a difficult time fitting them in.,leftover difficult time fit .
20,The fridge has a glass door and the light is on constantly- hard to sleep with it and the noise.,fridge glass door light constantly hard sleep noise .
21,I would not recommend staying here unless you can't afford any other option.,would recommend stay unless afford option .
22,It was fine for one night.,fine one night .
23,There was no deadbolt or physical lock on the door.,deadbolt physical lock door .
24,So I could not lock it on the inside.,could lock inside .
25,This could allow anyone with an electronic key card to enter.,could allow anyone electronic key card enter .
26,The location was good and the staff friendly,location good staff friendly
27,Location was amazing fairly quiet on a Friday night.,location amazing fairly quiet friday night .
28,I found this roach/bug in the bathroom floor,find bathroom floor
29,The room was very outdated the tv wasn’t even calibrated to fit the screen each channel was too big to be displayed on the small tv bath towels where ok not too bad the bathroom smelled bad like the shower curtains where not cleaned it smelled like sweat The ceiling was recently patched up and looked like some just finished repairing it bed was too low to the floor the pillows were very comfortable the bed was very outdated and stiff,room outdated tv even calibrate fit screen channel big display small tv bath towel ok bad bathroom smell bad like shower curtain clean smell like sweat ceiling recently patch look like finish repair bed low floor pillow comfortable bed outdated stiff
30,The room me and my boyfriend stayed in was very dirty and lighting in the room was horrible and tv didn’t work,room boyfriend stay dirty lighting room horrible tv work
31,Staff is very friendly and room is very clean.,staff friendly room clean .
32,I stayed here with my family.,stay family .
33,"Clean, modern furniture and staff went out of their way to make sure I was taken care of.",clean modern furniture staff go way make sure take care .
34,"This hotel is in a beautiful location, the staff I encountered were nice.",hotel beautiful location staff encounter nice .
35,There was little tabletop ironboard without any surface to put it on - no table/desk/dresser.,little tabletop ironboard without surface put
36,"The bathroom was ok. That hotel should be rated 1.5.. Also, NO CABLE TV.",bathroom ok . hotel rate also cable tv .
37,I hope Iwas not selectively give that room.,hope iwa selectively give room .
38,Least I am in the medical profession.,least medical profession .
39,Room was very2 small ...everythings its good,room very2 small everything good
40,"Me and my girlfriend checked in at 10am, fully aware that our room would not be ready until check-in time (3pm).",girlfriend check fully aware room would ready checkin time
41,"After being told by the receptionist that our room was not ready yet (2 hours after check-in time, 7 hours after we checked in!!",tell receptionist room ready yet hour checkin time hour check
42,"), we had to wait another hour in the lobby.",wait another hour lobby .
43,"Of course, the wait was not even worth it, because the rooms are EXTREMELY SMALL.",course wait even worth room extremely small .
44,Our room was small to the point where we didn't even have space to open our luggage properly!,room small point even space open luggage
45,"On top of that, the fridge was working half of the time, the ""ac"" is just a loud, dirty fan that blasts cold air at you, and the shower water flow sucks.",top fridge work half time ac loud dirty fan blast cold air shower water flow suck .
46,You'll know what I mean if you end up having to stay here.,know mean end stay .
47,The location was perfect because I wanted to be by Central park.,location perfect want central park .
48,And Glenny was a very nice receptionist.,glenny nice receptionist .
49,"They offered suggestions on where to eat, guidance on using local transportation, and housekeeping was outstanding.",offer suggestion eat guidance use local transportation housekeeping outstanding .
50,"The hotel was about a 20-25 minute walk to Columbia University, the Apollo in Harlem and right across the street from Central Park.",hotel minute walk columbia university apollo harlem right across street central park .
51,"No cable television, nor breakfast are served here.",cable television breakfast serve .
52, clean and comfortable.,clean comfortable .
53,For those looking for an affordable hotel room in Upper West Manhattan it should suit your needs.,look affordable hotel room upper west manhattan suit need .
54,"Perfect location, clean and modern ",perfect location clean modern
55,Honestly it was not worth the 150 deposit and the extra fee there was no CABLE the AC was old and kept turning off...,honestly worth deposit extra fee cable ac old keep turn
56,The customer service is awesome ,customer service awesome
57, for the high rate of upper Manhattan might as well pay the 250 for lower Manhattan,high rate upper manhattan may well pay low manhattan
58,The rooms are so small that it was hard to move around.,room small hard move around .
59,"The room was literally never cleaned, nor the AC filter because the air smelled bad.",room literally never clean ac filter air smell bad .
60,"They moved us to another room, and this one had the bathtub clogged.",move another room one bathtub clog .
61,It was just one thing after another.,one thing another .
62,Pretty disappointing stay for sure.,pretty disappointing stay sure .
63,Very frustrating experience.,frustrating experience .
64,"Hotel charges a $20 ""resort fee"" per day, which is supposed to cover wifi and some other amenities...I can't even remember what the other supposed amenities were.",hotel charge resort fee per day suppose cover wifi amenity even remember suppose amenity .
65,Wifi was incredibly weak and didn't even work half of the time.,wifi incredibly weak even work half time .
66,The television didn't work in either my room or my colleague's room.,television work either room colleague room .
67,I travel a lot to NYC and book travel for colleagues traveling through the city.,travel lot nyc book travel colleague travel city .
68,"I will not be staying at Park West again, nor will I put any of my colleagues there.",stay park west put colleague .
69,Staffs here were very friendly and made check in very easy.,staff friendly make check easy .
70,One thing any guest that come here that needs to know is that the room are small.,one thing guest come need know room small .
71," even with me preferring a softer bed, I slept very well and refreshed.",even prefer soft bed sleep well refresh .
72,"The bathroom is pretty standard, not crazy.",bathroom pretty standard crazy .
73,"The only thing is one of the morning I stayed, the hot water wasn't warm.",thing one morning stay hot water warm .
74,"at least for me, I prefer a colder shower, so I didn't mind too much, ",least prefer cold shower mind much
75,This is part of the $19.95 fee you pay per night.,part fee pay per night .
76,"The room does not have a microwave in case you are wondering, however, I was eating out most of the time or eating meal that didn't need a microwave, so it was not a big deal.",room microwave case wonder however eat time eat meal need microwave big deal .
77,The room has a window A/C unit.,room window unit .
78,"For my room, it did its job, however, the room may not be cold during the day with the summer heat.",room job however room may cold day summer heat .
79,"Along with the NY outside noise and the loud A/C unit, this might bother you.",along ny outside noise loud unit may bother .
80,So consider bringing ear plugs.,consider bring ear plug .
81,"As I did not need too much extra features, this hotel was perfect for me, especially for it being next to Central Park.",need much extra feature hotel perfect especially next central park .
82,The airconditioner and the mattress was in good condition.Bathroom was old and dirty .Elevator was too small .Extra charges,airconditioner mattress good condition.bathroom old dirty small charge
83,Being in the hospitality industry- I feel like this hotel has so much potential ,hospitality industry feel like hotel much potential
84, just a majorly missed opportunity for this hotel.,majorly miss opportunity hotel .
85,Good hotel considering price/service rate,good hotel consider rate
86,Woke up to roaches in bathroom.,wake roach bathroom .
87,Other then the roaches had a good stay.,roach good stay .
88,really small room ,really small room
89,A family would be too crowded.,family would crowded .
90,My stay met expectations.,stay meet expectation .
91,Bed was comfortable.,bed comfortable .
92,"Staff were friendly, particularly the morning staff.",staff friendly particularly morning staff .
93, completely functional) toilet.,completely functional toilet .
94,Very good service on the front desk ,good service front desk
95,"It is nice address, in front to Central park, ",nice address front central park
