,org_sent,processed_sent
0,Also the coffee kiosk in the lobby was good.,also coffee kiosk lobby good .
1,The rooms were pretty shabby.,room pretty shabby .
2, our room looked heavily used and didn't look to have been redecorated for some time.,room look heavily use look redecorate time .
3,The seal around the small bath/shower was coming away and the windows aren't double glazed so you can escape the sound of horns and sirens in your room while trying to sleep.,seal around small come away window double glaze escape sound horn siren room try sleep .
4,Was also bitten by some mosquito or something during the night nearly every night.,also bite mosquito something night nearly every night .
5, could be a lot better.,could lot well .
6,I injuried my knee on the first night in NY.,injurie knee first night ny .
7,"The staff helped by briging a shower chair, providing information to rent a scooter (Big Apple Mobility), and the phone number for the cab company so I could request wheelchair accessible transportationto help get around and enjoy my first visit to NY.",staff help brige shower chair provide information rent scooter big apple mobility phone number cab company could request wheelchair accessible transportationto help get around enjoy first visit ny .
8,I can't begin to thank the staff enough for everything they did to help.,begin thank staff enough everything help .
9,"If I ever return to NY, I would stay at the New Yorker.",ever return ny would stay new yorker .
10,Enjoyed my stay at the New Yorker very much.,enjoy stay new yorker much .
11,"Unfortunately we didn't use any of its facilities,as we were trying to make the most of our stay in Manhattan.",unfortunately use try make stay manhattan .
12,Every morning we would walk out and get into the subway and travel around the city.,every morning would walk get subway travel around city .
13,Ideal as everything is a short distance away and after a long day its nice to walk only a few minutes from the subway stop to your hotel.,ideal everything short distance away long day nice walk minute subway stop hotel .
14,conceirge was rude and unhelpful when I asked for things to do in NY Room Service came 9-9.15am banging on door two mornings.,conceirge rude unhelpful ask thing ny room service come bang door two morning .
15,"The location is absolutely great in mid town, at the corner of 34th street and 8th Ave.",location absolutely great mid town corner street ave .
16,"Walk distance to Broadway, Time Square and surrounded by pharmacy, fast food restaurant and shopping malls.",walk distance broadway time square surround pharmacy fast food restaurant shopping mall .
17,Don't need to worry about transport or food as this area is all busy for whole night.,need worry transport food area busy whole night .
18,"In the morning, you can see tons of trash everywhere on the streets just stepped out the hotel.",morning see ton trash everywhere street step hotel .
19,Well perhaps it is so called NEW YORK.,well perhaps call new york .
20,Excellent hotel staff helpful friendly and accommodating.,excellent hotel staff helpful friendly accommodate .
21,We look forward to going back.,look forward go back .
22,expensive and we’re were charged and extra 40 usd per day resort fee on top of the booking through agoda that was supposed to be 100 percent covered and no mention anywhere that there would be extra charges extorted at check in also the area feels quite dangerous at night many people on drugs and beggars i would not stay in this area again i’ve been to 40 countries so i’m an experienced traveler,expensive charge extra usd per day resort fee top booking agoda suppose percent cover mention anywhere would extra charge extort check also area feel quite dangerous night many people drug beggar would stay area country experienced traveler
23,Stayed at the New Yorker again.,stay new yorker .
24,Great location and starting point for many activities.,great location starting point many activity .
25,"Facilities ans staff are great, very helpful.",facility ans staff great helpful .
26,A historical building with a past.,historical building past .
27,"Restaurant Tick Tock has much to be desired, however other options in Hotel were fine.",restaurant tick tock much desire however option hotel fine .
28,Room was cleaned to a high level everyday and staff were very helpful.,room clean high level everyday staff helpful .
29,Surprising that the room didn't come with a fridge & would've liked to have bottles of water welcoming us.,surprising room come fridge would like bottle water welcome .
30,Had travelled 12+ hours to get there and little things can make big differences.,travel hour get little thing make big difference .
31,"Facility charges are not communicated in advance, ",facility charge communicate advance
32," charged upon arrival on top, even though the full amount was prepaid.",charge upon arrival top even though full amount prepay .
33,Amazing midtown location.,amazing midtown location .
34,"Clean room, nice and polite staff.",clean room nice polite staff .
35,"Agoda stated the tax and hotel fee already included in the price when I booked the hotel, ",agoda state tax hotel fee already include price book hotel
36," during checked in , the hotel still wanted to collect extra facilities fee from me which I did not requested for extra facilities such as fee for business center, fitness center, international phone call usage..",check hotel still want collect extra facility fee request extra facility fee business center fitness center international phone call usage
37,The receptionist said the facilities fee is a must even I am not going to use it.,receptionist say facility fee must even go use .
38,No tea or coffee facilities in room,tea coffee facility room
39,Great location and interesting history.,great location interesting history .
40,Dated deco and carpet In front of hotel the evening homeless and drug users The only hotel that you need to pay to store the luggage when you check out.,date deco carpet front hotel evening homeless drug user hotel need pay store luggage check .
41,The room was 4 people with two double bed ,room people two double bed
42, the bed was small and not Suitable or comfortable for two people.,bed small suitable comfortable two people .
43,The bathroom was full with cockroach.,bathroom full cockroach .
44,"The bathroom was very small, and in a deteriorate state , the ceramic tiles were broken, the taps worn out.",bathroom small deteriorate state ceramic tile break tap wear .
45,No shower cap or beauty set.,shower cap beauty set .
46,"No fridge, nor coffee machine in the room.",fridge coffee machine room .
47,"If you don' t have a room with a view on the Empire State, it' s worthless.",room view empire state worthless .
48,"I like the hotel my room was great with a beautiful city view location was great a very big hotel , the staff was very friendly and helpful I forgot the names ",like hotel room great beautiful city view location great big hotel staff friendly helpful forget name
49,"- check-in, being charged to store luggage while waiting to check in, the long lines to do anything in the lobby, and the not especially amiable front desk staff, The New Yorker seems to have forgotten its job is to give paying guests a good time and make them want to recommend the place and come back.",checkin charge store luggage wait check long line anything lobby especially amiable front desk staff new yorker seem forget job give pay guest good time make want recommend place come back .
50," okay it’s NYC I can understand that); the TV in our room was from the Reagan Administration era; and the hotel is not actually in Times Square (it’s not far, about 12 streets away, ",okay nyc understand tv room reagan administration era hotel actually time square far street away
51,All in all you can do better for the price in NY.,better price ny .
52,"We did, and they stole items from our glove compartment that was locked (so they actually had to unlock it with the key).",steal item glove compartment lock actually unlock
53,No way to prove it.,way prove .
54,"At $85 a day for the valet parking, I was expecting something more safe and Super disappointed !!",day valet parking expect something safe super disappointed
55,"Also, lots of hidden facility fees where there are technically no hotel facilities.",also lot hidden facility fee technically hotel facility .
56,"And anyways, there is so much to do in NYC that who would even stay in to use the facilities?",anyway much nyc would even stay use
57,"The hotel is outdated and needs some renovations, and the rooms weren’t really that clean.",hotel outdate need renovation room really clean .
58,"Only good thing about this hotel is the location, ",good thing hotel location
59," for the price difference, I rather pay a little bit more and stay somewhere that is more modern and that won’t steal stuff from our car!",price difference rather pay little bit stay somewhere modern steal stuff
60,This is definitely not a 4-star hotel.,definitely hotel .
61,I would give it at most 2 stars.,would give star .
62,Would NEVER stay in this hotel again!!,would never stay hotel
63,"Great location for us since we were seeing a concert at Madison Square Garden; however, that is the best thing I can say.",great location since see concert madison square garden however good thing say .
64,Our bathroom was filthy.,bathroom filthy .
65,We had to pay to store our luggage after checkout because our flight was later.,pay store luggage checkout flight later .
66,There’s no gift shop or place to buy drinks or essentials.,gift shop place buy drink essential .
67,No ice machine on the floors.,ice machine floor .
68,I do not know how this Hotel is a 4 Star.,know hotel star .
69,The rooms has a 2ft area after bed.,room area bed .
70,The hospitality of the staff is very poor.,hospitality staff poor .
71,When we tried to checkin we had to incur hidden charges from the hotel.,try checkin incur hide charge hotel .
72,There are much better options nearby.,much well option nearby .
73,You will get spacious rooms and better facilities.,get spacious room well facility .
74,I was pleased during my stay at the hotel.,pleased stay hotel .
75,On arrival there was no line to check-in (which we lucked out with because every other time we were in the lobby there was a huge line) and the staff was super friendly.,arrival line checkin lucke every time lobby huge line staff super friendly .
76,"We were put on the 27th floor, which had an amazing view.",put floor amazing view .
77,"However, the be prepared to be patient for the elevators.",however prepare patient elevator .
78,"Although there are elevators designed to only go from 20 floors and up, there’s often a line waiting.",although elevator design go floor often line wait .
79,"I was a little disappointed to see that the “queen” beds, which is the largest bed they offer, is actually a full size.",little disappointed see bed large bed offer actually full size .
80,"I typically wouldn’t complain about this if I was traveling alone, however my boyfriend and I did have a little difficulty with level of comfort in a small bed.",typically complain travel alone however boyfriend little difficulty level comfort small bed .
81,"Tick-tock is open 24/7 with a lot of options for food, however be prepared to wait for service.",ticktock open lot option food however prepared wait service .
82,"If you don’t mind the mass amount of tourists and hustle and bustle constantly going on in the lobby, for the price this is a great option.",mind mass amount tourist hustle bustle constantly go lobby price great option .
83,The day prior to our stay I notified the hotel that I am travelling with my kids and would require a crib and a roll away.,day prior stay notify hotel travel kid would require crib roll away .
84,The customer service rep said that it wouldn’t be a problem just to notify the front desk.,customer service rep say problem notify front desk .
85,Checked in at 11am and was told that I would need to upgrade my room so that it is large enough to fit the roll away (150sqf as opposed to 110sqf).,check tell would need upgrade room large enough fit roll away oppose
86,Ok $40 later looked like we were ready to go and the staff I was dealing with (Jessica) said she would call when the room is ready.,ok later look like ready go staff deal jessica say would call room ready .
87,Was placed on hold for 15min and was told the front desk was too busy to take my call.,place hold tell front desk busy take call .
88,Arrived at 8:30pm and there was absolutely no acknowledgement of my lengthy dealing that morning requesting the roll away.,arrive absolutely acknowledgement lengthy deal morning request roll away .
89,Finally got that settled for the second time.,finally get settle second time .
90,Room was tiny (even with the upgrade had to crawl over the roll away to my bed.,room tiny even upgrade crawl roll away bed .
91,Only pro’s were the second staff I dealt with and speedy delivery of crib and roll away at night.,second staff deal speedy delivery crib roll away night .
92," for the price and for the location in NYC, that was to be expected.",price location nyc expect .
93,We chose to stay in a different hotel for our next two nights in NYC.,choose stay different hotel next two night nyc .
94,Did a double at work instead of commuting all the way back to Staten Island decided to stay the night slept good everything was clean definitely will be back,double work instead commute way back staten island decide stay night sleep good everything clean definitely back
95,First time in NY.,first time ny .
96,"I knew the hotel was ""historic"", so I had an idea of what I was signing up for.",know hotel historic idea sign .
97, I guess it would be all the same around Manhattan.,guess would around manhattan .
98,I stayed with them for 7 nights with no fridge or coffee maker.,stay night fridge coffee maker .
99,They said it would be $50 for the two a night so I just decided to go without.,say would two night decide go without .
100,"I never thought about not having a fridge, ",never think fridge
101, it was a good lesson learned to check amenities from now on.,good lesson learn check amenity .
102,I had to change my room once because there was something wrong with the faucet and the shower kept running.,change room something wrong faucet shower keep run .
103,"Also, I forgot my wallet and house keys in the safe, which I realized after I left NY and arrived back home, ",also forget wallet house key safe realize leave ny arrive back home
104,I really thought I would get them back.,really think would get back .
105,Location was excellent right by Penn Station.,location excellent right penn station .
106,"Wouldn't recommend to a friend, ",would recommend friend
107, was a good hotel for first time NY travel.,good hotel first time ny travel .
108,"In front of the hotel, there are Starbucks and Macdonalds.",front hotel starbuck macdonald .
109,"Also, it has to be paid if you want refrigerator in the room, ",also pay want refrigerator room
110,"And...actually, we lost our lots of money in the room, and after we checked out, the hotel found it and got back!",actually lose lot money room check hotel find get
111,"There are many travelers in the hotel, so you may feel 'live' and the place will give you delight.",many traveler hotel may feel live place give delight .
112,I strongly recommend this hotel.,strongly recommend hotel .
113,"Great location, friendly staff",great location friendly staff
114,Booked as a family of 5 always had to ask for the extra towel and internet had to be reset every day and drops out at times and resort fee is a bit pricey.,book family always ask extra towel internet reset every day drop time resort fee bit pricey .
115,"Standard room not very spacious, ",standard room spacious
116," the location is excellent, shopping, restaurant, cinema just within 5min walk.",location excellent shopping restaurant cinema within walk .
117,"however, a lot of free service was chargeable in this hotel inclusive coffee machine.",however lot free service chargeable hotel inclusive coffee machine .
118,(need to ask for coffee machine).,need ask coffee
119,"need to check clearly on the bill, hotel over charge me 4nights of parking fees",need check clearly bill hotel charge parking fee
120,We didn’t realize the history behind the hotel when we made our reservation.,realize history behind hotel make reservation .
121,At reading the history on the lower level and admiring the saved decor we realized this was an added bonus.,read history low level admire save decor realize add bonus .
122,"obligatory additional charges were imposed (""facilities fees"") which amounted to $259 for the duration of our stay, regardless of whether we used them or not.",obligatory additional charge impose facility fee amount duration stay regardless whether use .
123,"Not every traveller needs a Business Centre or exercise room , so not every traveller should be charged for facilities we don't all want to use.",every traveller need business centre exercise room every traveller charge facility want use .
124,New yorker hotel is like low cost airline rooms what u c on internet are absolutely diffrent wat u c there if u want to change room u pay from 20$ to 45 $ extra U get gud hotels almost same price in same area there is no coffees maker or bottles of water wen u enter room,new yorker hotel like low cost airline room u c internet absolutely diffrent wat u c u want change room u pay extra u get gud hotel almost price area coffee maker bottle water wen u enter room
125,It's right above the penn station and a block away from the port authority where the buses are.,right penn station block away port authority bus .
126,"There are so many homeless people wandering about, though.",many homeless people wander though .
